#tau_t_eV: momenta [eV]: 0.000157006 0.000248489 0.000317244 0.000380634 0.000444428 0.000512758 0.000590547 0.000686251 0.000820231 0.00108308
#cosmoparam: n_s=0.9665, sigma_8=0.7139, h=0.6766, Omega_m_0=0.309641, Omega_b_0=0.0489747, Omega_nu_0=0.0109221, T_CMB_0_K=2.7255, w0_eos_de=-1, wa_eos_de=0
#Pmat0: found norm = 3.20325e+06
#main: allocated C.
#main: linear normalization complete.
#main: allocated mode-coupling integral arrays.
#main: evolved to nl init z=2.000000e+02.
1.000000e-04   1.850528e-02 1.797255e-02 1.745515e-02   1.850528e-02 1.797255e-02 1.745515e-02   1.815991e-02 1.778067e-02 1.740934e-02   1.796362e-02 1.767052e-02 1.738221e-02   1.781883e-02 1.758881e-02 1.736175e-02   1.768745e-02 1.751432e-02 1.734288e-02   1.755727e-02 1.744020e-02 1.732390e-02   1.742007e-02 1.736175e-02 1.730363e-02   1.726664e-02 1.727363e-02 1.728062e-02   1.708182e-02 1.716693e-02 1.725246e-02   1.683010e-02 1.702063e-02 1.721332e-02   1.635808e-02 1.674305e-02 1.713708e-02
1.094889e-04   2.020279e-02 1.961967e-02 1.905339e-02   2.020279e-02 1.961967e-02 1.905339e-02   1.979047e-02 1.939047e-02 1.899856e-02   1.955668e-02 1.925910e-02 1.896605e-02   1.938454e-02 1.916176e-02 1.894153e-02   1.922858e-02 1.907312e-02 1.891892e-02   1.907427e-02 1.898503e-02 1.889620e-02   1.891189e-02 1.889190e-02 1.887193e-02   1.873061e-02 1.878742e-02 1.884441e-02   1.851266e-02 1.866112e-02 1.881076e-02   1.821659e-02 1.848830e-02 1.876405e-02   1.766371e-02 1.816147e-02 1.867325e-02
1.198782e-04   2.205638e-02 2.141797e-02 2.079805e-02   2.205638e-02 2.141797e-02 2.079805e-02   2.156420e-02 2.114422e-02 2.073242e-02   2.128584e-02 2.098756e-02 2.069346e-02   2.108129e-02 2.087164e-02 2.066408e-02   2.089626e-02 2.076622e-02 2.063698e-02   2.071349e-02 2.066157e-02 2.060977e-02   2.052148e-02 2.055108e-02 2.058072e-02   2.030751e-02 2.042731e-02 2.054782e-02   2.005083e-02 2.027794e-02 2.050762e-02   1.970312e-02 2.007402e-02 2.045191e-02   1.905672e-02 1.968978e-02 2.034387e-02
1.312533e-04   2.408022e-02 2.338112e-02 2.270233e-02   2.408022e-02 2.338112e-02 2.270233e-02   2.349277e-02 2.305417e-02 2.262377e-02   2.316147e-02 2.286740e-02 2.257707e-02   2.291853e-02 2.272941e-02 2.254184e-02   2.269919e-02 2.260408e-02 2.250938e-02   2.248289e-02 2.247984e-02 2.247679e-02   2.225608e-02 2.234886e-02 2.244203e-02   2.200383e-02 2.220236e-02 2.240269e-02   2.170194e-02 2.202590e-02 2.235469e-02   2.129424e-02 2.178560e-02 2.228830e-02   2.054004e-02 2.133460e-02 2.215990e-02
1.437078e-04   2.628984e-02 2.552410e-02 2.478067e-02   2.628984e-02 2.552410e-02 2.478067e-02   2.558878e-02 2.513365e-02 2.468662e-02   2.519464e-02 2.491104e-02 2.463063e-02   2.490629e-02 2.474684e-02 2.458840e-02   2.464646e-02 2.459793e-02 2.454950e-02   2.439073e-02 2.445053e-02 2.451048e-02   2.412310e-02 2.429538e-02 2.446889e-02   2.382611e-02 2.412216e-02 2.442188e-02   2.347159e-02 2.391393e-02 2.436461e-02   2.299440e-02 2.363116e-02 2.428556e-02   2.211636e-02 2.310275e-02 2.413314e-02
1.573441e-04   2.870251e-02 2.786357e-02 2.704915e-02   2.870251e-02 2.786357e-02 2.704915e-02   2.786600e-02 2.739733e-02 2.693654e-02   2.739730e-02 2.713206e-02 2.686940e-02   2.705527e-02 2.693676e-02 2.681877e-02   2.674774e-02 2.675995e-02 2.677216e-02   2.644570e-02 2.658520e-02 2.672543e-02   2.613029e-02 2.640158e-02 2.667569e-02   2.578112e-02 2.619697e-02 2.661953e-02   2.536548e-02 2.595159e-02 2.655125e-02   2.480804e-02 2.561936e-02 2.645721e-02   2.378825e-02 2.500146e-02 2.627655e-02
1.722743e-04   3.133692e-02 3.041753e-02 2.952512e-02   3.133692e-02 3.041753e-02 2.952512e-02   3.033895e-02 2.986083e-02 2.939025e-02   2.978185e-02 2.954485e-02 2.930973e-02   2.937645e-02 2.931267e-02 2.924902e-02   2.901280e-02 2.910285e-02 2.919317e-02   2.865647e-02 2.889585e-02 2.913724e-02   2.828524e-02 2.867876e-02 2.907776e-02   2.787535e-02 2.843737e-02 2.901072e-02   2.738891e-02 2.814860e-02 2.892936e-02   2.673910e-02 2.775892e-02 2.881764e-02   2.555770e-02 2.703792e-02 2.860386e-02
1.886212e-04   3.421314e-02 3.320531e-02 3.222717e-02   3.421314e-02 3.320531e-02 3.222717e-02   3.302276e-02 3.254068e-02 3.206564e-02   3.236096e-02 3.216441e-02 3.196905e-02   3.188084e-02 3.188855e-02 3.189626e-02   3.145127e-02 3.163974e-02 3.182935e-02   3.103139e-02 3.139477e-02 3.176241e-02   3.059510e-02 3.113839e-02 3.169132e-02   3.011473e-02 3.085396e-02 3.161134e-02   2.954655e-02 3.051467e-02 3.151450e-02   2.879079e-02 3.005845e-02 3.138193e-02   2.742600e-02 2.921911e-02 3.112946e-02
2.065193e-04   3.735378e-02 3.624868e-02 3.517628e-02   3.735378e-02 3.624868e-02 3.517628e-02   3.593418e-02 3.545529e-02 3.498278e-02   3.514846e-02 3.500739e-02 3.486689e-02   3.458032e-02 3.467982e-02 3.477961e-02   3.407345e-02 3.438503e-02 3.469946e-02   3.357936e-02 3.409540e-02 3.461937e-02   3.306740e-02 3.379297e-02 3.453446e-02   3.250547e-02 3.345833e-02 3.443911e-02   3.184322e-02 3.306033e-02 3.432397e-02   3.096640e-02 3.252732e-02 3.416692e-02   2.939445e-02 3.155268e-02 3.386937e-02
2.261157e-04   4.078245e-02 3.957035e-02 3.839427e-02   4.078245e-02 3.957035e-02 3.839427e-02   3.908989e-02 3.862338e-02 3.816244e-02   3.815765e-02 3.809046e-02 3.802339e-02   3.748603e-02 3.770176e-02 3.791873e-02   3.688867e-02 3.735278e-02 3.782273e-02   3.630810e-02 3.701073e-02 3.772696e-02   3.570840e-02 3.665447e-02 3.762560e-02   3.505237e-02 3.626136e-02 3.751205e-02   3.428224e-02 3.579539e-02 3.737532e-02   3.326770e-02 3.517403e-02 3.718959e-02   3.146303e-02 3.404542e-02 3.683977e-02
2.475716e-04   4.452605e-02 4.319617e-02 4.190600e-02   4.452605e-02 4.319617e-02 4.190600e-02   4.250854e-02 4.206608e-02 4.162822e-02   4.140324e-02 4.143228e-02 4.146135e-02   4.061011e-02 4.097138e-02 4.133587e-02   3.990704e-02 4.055866e-02 4.122092e-02   3.922596e-02 4.015519e-02 4.110644e-02   3.852477e-02 3.973612e-02 4.098555e-02   3.776053e-02 3.927512e-02 4.085046e-02   3.686718e-02 3.873067e-02 4.068834e-02   3.569671e-02 3.800809e-02 4.046913e-02   3.363201e-02 3.670508e-02 4.005895e-02
2.710634e-04   4.861264e-02 4.715310e-02 4.573738e-02   4.861264e-02 4.715310e-02 4.573738e-02   4.620848e-02 4.580472e-02 4.540448e-02   4.489904e-02 4.505137e-02 4.520421e-02   4.396351e-02 4.450530e-02 4.505378e-02   4.313724e-02 4.401773e-02 4.491620e-02   4.233963e-02 4.354245e-02 4.477945e-02   4.152147e-02 4.305028e-02 4.463538e-02   4.063326e-02 4.251069e-02 4.447487e-02   3.959978e-02 4.187596e-02 4.428297e-02   3.825363e-02 4.103790e-02 4.402483e-02   3.590024e-02 3.953842e-02 4.354530e-02
2.967843e-04   5.307401e-02 5.147167e-02 4.991770e-02   5.307401e-02 5.147167e-02 4.991770e-02   5.020999e-02 4.986314e-02 4.951868e-02   4.866003e-02 4.896819e-02 4.927830e-02   4.755790e-02 4.832181e-02 4.909799e-02   4.658837e-02 4.774649e-02 4.893339e-02   4.565607e-02 4.718743e-02 4.877016e-02   4.470352e-02 4.661042e-02 4.859867e-02   4.367386e-02 4.598015e-02 4.840822e-02   4.248175e-02 4.524196e-02 4.818151e-02   4.093877e-02 4.427278e-02 4.787829e-02   3.826699e-02 4.255321e-02 4.731953e-02
